,Position_Title,Department,Employee_Annual_Salary
7920,ACCOUNTING TECHNICIAN II,FINANCE,66492.0
7921,FIREFIGHTER-EMT,FIRE,88164.0
7922,POLICE OFFICER,POLICE,78012.0
7923,TREE TRIMMER,STREETS & SAN,73008.0
7924,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
7925,CIVIL ENGINEER V,TRANSPORTN,108924.0
7926,STORES LABORER,AVIATION,76960.0
7927,ASST CORPORATION COUNSEL,LAW,89472.0
7928,PERSONAL COMPUTER OPERATOR II,AVIATION,57828.0
7929,POLICE OFFICER,POLICE,83706.0
7930,POLICE OFFICER,POLICE,71748.0
7931,PUBLIC HEALTH NURSE II,HEALTH,101136.0
7932,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
7933,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,55656.0
7934,PUBLIC RELATIONS REPRESENTATIVE II,PUBLIC LIBRARY,83832.0
7935,ADMINISTRATIVE ASST II,BUSINESS AFFAIRS,52740.0
7936,PROGRAM DIR,HEALTH,69684.0
7937,CROSSING GUARD,POLICE,19000.8
7938,SERGEANT,POLICE,109278.0
7939,FIREFIGHTER-EMT,FIRE,84762.0
7940,POLICE OFFICER,POLICE,80724.0
7941,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,52764.0
7942,FIREFIGHTER-EMT,FIRE,81906.0
7943,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,45000.0
7944,POLICE OFFICER,POLICE,80724.0
7945,POLICE OFFICER,POLICE,80724.0
7946,REGIONAL COMMUNICABLE DISEASE INVESTIGATOR,HEALTH,86484.0
7947,ASST TO THE COMMISSIONER,COMMUNITY DEVELOPMENT,88812.0
7948,ADMIN SERVICES OFFICER I-EXCLUDED,POLICE,63276.0
7949,CUSTODIAL WORKER - PART TIME,AVIATION,13468.0
7950,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
7951,POLICE OFFICER,POLICE,78012.0
7952,FIREFIGHTER-EMT,FIRE,79140.0
7953,POLICE OFFICER,POLICE,78012.0
7954,POLICE OFFICER,POLICE,80724.0
7955,POLICE OFFICER,POLICE,80724.0
7956,SERGEANT,POLICE,102564.0
7957,SERGEANT,POLICE,99444.0
7958,POLICE COMMUNICATIONS OPERATOR I,OEMC,63552.0
7959,POLICE OFFICER,POLICE,83706.0
7960,POLICE OFFICER,POLICE,80724.0
7961,TRAINING OFFICER,POLICE,72936.0
7962,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,84756.0
7963,CUSTODIAL WORKER,GENERAL SERVICES,37523.2
7964,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
7965,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
7966,FIREFIGHTER,FIRE,87324.0
7967,CONCRETE LABORER,TRANSPORTN,76960.0
7968,LIEUTENANT-EMT,FIRE,108132.0
7969,DETENTION AIDE,POLICE,60648.0
7970,LIBRARIAN I,PUBLIC LIBRARY,69300.0
7971,POLICE OFFICER,POLICE,75372.0
7972,POLICE OFFICER,POLICE,80724.0
7973,POLICE OFFICER,POLICE,80724.0
7974,FIRE ENGINEER,FIRE,87372.0
7975,POLICE OFFICER,POLICE,83706.0
7976,POLICE OFFICER,POLICE,80724.0
7977,POLICE OFFICER,POLICE,61530.0
7978,CAPTAIN-EMT,FIRE,121428.0
7979,FIREFIGHTER-EMT,FIRE,81906.0
7980,DISTRICT CHIEF,FIRE,162012.0
7981,CROSSING GUARD,POLICE,18148.0
7982,CROSSING GUARD,POLICE,16525.6
7983,CROSSING GUARD,POLICE,19895.2
7984,DEPUTY COMMISSIONER,COMMUNITY DEVELOPMENT,116904.0
7985,POLICE OFFICER,POLICE,80724.0
7986,CROSSING GUARD - PER AGREEMENT,POLICE,20436.0
7987,WARD SUPERINTENDENT,STREETS & SAN,80112.0
7988,FILTRATION ENGINEER II,WATER MGMNT,65424.0
7989,OFFICE ADMINISTRATOR,CITY CLERK,100200.0
7990,SANITATION LABORER,STREETS & SAN,70969.6
7991,CONSTRUCTION LABORER,WATER MGMNT,76960.0
7992,LAW CLERK,LAW,25152.4
7993,POLICE OFFICER,POLICE,65016.0
7994,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,54348.0
7995,LIEUTENANT,POLICE,122718.0
7996,POLICE OFFICER,POLICE,80724.0
7997,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
7998,CROSSING GUARD,POLICE,16525.6
7999,DIR OF ATTY RECRUITMENT & PROF DEV,LAW,109728.0
8000,POLICE OFFICER,POLICE,80724.0
8001,POLICE OFFICER,POLICE,78012.0
8002,POLICE OFFICER,POLICE,80724.0
8003,POLICE OFFICER,POLICE,80724.0
8004,CLERK III,FAMILY & SUPPORT,45828.0
8005,POLICE OFFICER,POLICE,78012.0
8006,SERGEANT,POLICE,102564.0
8007,POLICE OFFICER,POLICE,71748.0
8008,AVIATION SECURITY OFFICER,AVIATION,51216.0
8009,AMBULANCE COMMANDER,FIRE,115644.0
8010,POLICE OFFICER,POLICE,83706.0
8011,CLERK III,BUSINESS AFFAIRS,48048.0
8012,POLICE OFFICER,POLICE,80724.0
8013,COORD OF SPECIAL PROJECTS,BUSINESS AFFAIRS,84780.0
8014,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
8015,FIREFIGHTER-EMT,FIRE,84762.0
8016,MAYOR,MAYOR'S OFFICE,216210.0
8017,PARAMEDIC,FIRE,71748.0
8018,CROSSING GUARD,POLICE,16525.6
8019,FIREFIGHTER,FIRE,80724.0
8020,DIR OF INFORMATION SYSTEMS,BUILDINGS,102000.0
8021,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,90540.0
8022,POLICE OFFICER,POLICE,61530.0
8023,ASST CORPORATION COUNSEL,LAW,61980.0
8024,POLICE OFFICER,POLICE,75372.0
8025,COORD OF SPECIAL PROJECTS,POLICE,93024.0
8026,POLICE OFFICER,POLICE,78012.0
8027,FIREFIGHTER-EMT,FIRE,79140.0
8028,FIRE ENGINEER-EMT,FIRE,95076.0
8029,POLICE OFFICER,POLICE,80724.0
8030,POLICE COMMUNICATIONS OPERATOR I,OEMC,48924.0
8031,POLICE OFFICER,POLICE,86130.0
8032,SENIOR PROGRAMMER/ANALYST,HUMAN RESOURCES,79464.0
8033,POLICE OFFICER,POLICE,80724.0
8034,MOTOR TRUCK DRIVER,AVIATION,70408.0
8035,CROSSING GUARD,POLICE,18148.0
8036,LIEUTENANT,POLICE,119076.0
8037,LEGAL SECRETARY,LAW,63456.0
8038,LIBRARIAN II,PUBLIC LIBRARY,76524.0
8039,CEMENT FINISHER,TRANSPORTN,88088.0
8040,FIREFIGHTER-EMT,FIRE,79140.0
8041,POLICE OFFICER,POLICE,65016.0
8042,POLICE OFFICER,POLICE,80724.0
8043,CROSSING GUARD,POLICE,17316.0
8044,POLICE OFFICER,POLICE,78012.0
8045,ASST CORPORATION COUNSEL SUPVSR,LAW,102492.0
8046,SERGEANT,POLICE,102564.0
8047,COORDINATING PLANNER II,COMMUNITY DEVELOPMENT,99108.0
8048,PARAMEDIC,FIRE,80724.0
8049,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
8050,FIREFIGHTER,FIRE,87324.0
8051,SANITARIAN II,HEALTH,69648.0
8052,PARAMEDIC,FIRE,78012.0
8053,AVIATION COMMUNICATIONS OPERATOR,OEMC,66552.0
8054,STEAMFITTER,WATER MGMNT,95680.0
8055,CAPTAIN-PARAMEDIC,FIRE,124320.0
8056,ELECTRICAL MECHANIC,TRANSPORTN,89440.0
8057,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
8058,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8059,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
8060,POLICE OFFICER,POLICE,80724.0
8061,POLICE OFFICER,POLICE,78012.0
8062,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
8063,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,GENERAL SERVICES,89440.0
8064,POLICE OFFICER,POLICE,78012.0
8065,POLICE OFFICER,POLICE,75372.0
8066,POLICE OFFICER,POLICE,75372.0
8067,POLICE OFFICER,POLICE,86130.0
8068,POLICE OFFICER,POLICE,80724.0
8069,FILTRATION ENGINEER II,WATER MGMNT,62292.0
8070,RESIDENT SERVICES COORD I,FAMILY & SUPPORT,53808.0
8071,POLICE OFFICER,POLICE,83706.0
8072,FIRE ENGINEER,FIRE,93192.0
8073,STUDENT INTERN - MAYOR'S FELLOWS,MAYOR'S OFFICE,36400.0
8074,SERGEANT,POLICE,109278.0
8075,LIEUTENANT-PARAMEDIC,FIRE,110712.0
8076,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8077,LIBRARIAN II,PUBLIC LIBRARY,76524.0
8078,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
8079,POLICE OFFICER,POLICE,71748.0
8080,PROJECT DIR,CITY COUNCIL,73020.0
8081,POLICE OFFICER,POLICE,83706.0
8082,POLICE OFFICER,POLICE,75372.0
8083,POLICE OFFICER,POLICE,75372.0
8084,AMBULANCE COMMANDER,FIRE,108900.0
8085,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
8086,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,93930.0
8087,DEPUTY COMMISSIONER,FAMILY & SUPPORT,103008.0
8088,SERGEANT,POLICE,109278.0
8089,CIVIL ENGINEER III,WATER MGMNT,91224.0
8090,CIVIL ENGINEER IV,TRANSPORTN,99648.0
8091,POLICE OFFICER,POLICE,80724.0
8092,FIREFIGHTER-EMT,FIRE,79140.0
8093,ASST DEPUTY CHIEF PARAMEDIC,FIRE,148914.0
8094,DETENTION AIDE,POLICE,69708.0
8095,HEAD LIBRARY CLERK,PUBLIC LIBRARY,52740.0
8096,ADMINISTRATIVE ASST III,ADMIN HEARNG,66492.0
8097,ALDERMAN,CITY COUNCIL,114996.0
8098,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8099,FIREFIGHTER-EMT,FIRE,79140.0
8100,LABORER - APPRENTICE,WATER MGMNT,69264.0
8101,FIREFIGHTER,FIRE,83982.0
8102,FIRE COMMUNICATIONS OPERATOR II,OEMC,90202.68
8103,POLICE OFFICER,POLICE,78012.0
8104,POLICE OFFICER,POLICE,78012.0
8105,FIREFIGHTER-EMT,FIRE,79140.0
8106,CHIEF,POLICE,176532.0
8107,POLICE OFFICER,POLICE,75372.0
8108,POLICE OFFICER,POLICE,78012.0
8109,POLICE OFFICER,POLICE,65016.0
8110,LIEUTENANT,POLICE,119076.0
8111,POLICE OFFICER,POLICE,43104.0
8112,POLICE OFFICER,POLICE,78012.0
8113,CONSTRUCTION LABORER,WATER MGMNT,76960.0
8114,POLICE OFFICER,POLICE,78012.0
8115,POLICE OFFICER,POLICE,78012.0
8116,POLICE OFFICER,POLICE,61530.0
8117,ASST TO THE MAYOR,MAYOR'S OFFICE,120000.0
8118,SANITATION LABORER,STREETS & SAN,70969.6
8119,POLICE OFFICER,POLICE,75372.0
8120,FIREFIGHTER,FIRE,78012.0
8121,POLICE OFFICER,POLICE,78012.0
8122,SANITATION LABORER,STREETS & SAN,70969.6
8123,SANITATION LABORER,STREETS & SAN,70969.6
8124,POLICE OFFICER,POLICE,78012.0
8125,HOISTING ENGINEER,WATER MGMNT,95888.0
8126,MACHINIST,WATER MGMNT,91353.6
8127,POLICE OFFICER,POLICE,75372.0
8128,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
8129,POLICE OFFICER,POLICE,83706.0
8130,LABORER,AVIATION,65249.6
8131,LIBRARIAN I,PUBLIC LIBRARY,69300.0
8132,ASST COMMISSIONER,COMMUNITY DEVELOPMENT,88476.0
8133,POLICE OFFICER,POLICE,86130.0
8134,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
8135,FIREFIGHTER,FIRE,83982.0
8136,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8137,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,63552.0
8138,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
8139,POLICE OFFICER,POLICE,80724.0
8140,POLICE OFFICER,POLICE,80724.0
8141,ASST CORPORATION COUNSEL,LAW,70380.0
8142,POLICE OFFICER,POLICE,75372.0
8143,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
8144,POLICE OFFICER,POLICE,78012.0
8145,POLICE OFFICER,POLICE,83706.0
8146,POLICE OFFICER,POLICE,78012.0
8147,COMMUNICATIONS OPERATOR I - 311,OEMC,50280.0
8148,POLICE OFFICER,POLICE,83706.0
8149,POLICE OFFICER,POLICE,61530.0
8150,POLICE OFFICER,POLICE,83706.0
8151,POLICE COMMUNICATIONS OPERATOR II,OEMC,69708.0
8152,STUDENT INTERN - CITY CLERK,CITY CLERK,10920.0
8153,POLICE OFFICER,POLICE,83706.0
8154,MOTOR TRUCK DRIVER,AVIATION,70408.0
8155,WATER RATE TAKER,WATER MGMNT,72456.0
8156,FIREFIGHTER-EMT,FIRE,88164.0
8157,ADMINISTRATIVE ASST III,ADMIN HEARNG,60600.0
8158,POLICE OFFICER,POLICE,86130.0
8159,POLICE OFFICER,POLICE,65016.0
8160,POLICE OFFICER,POLICE,75372.0
8161,CITY PLANNER V,COMMUNITY DEVELOPMENT,82524.0
8162,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8163,POLICE OFFICER,POLICE,78012.0
8164,POLICE OFFICER,POLICE,75372.0
8165,HEAD LIBRARY CLERK,PUBLIC LIBRARY,57828.0
8166,SANITATION LABORER,STREETS & SAN,70969.6
8167,PROGRAM DIR - CULTURAL AFFAIRS,CULTURAL AFFAIRS,63516.0
8168,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
8169,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,41376.0
8170,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
8171,MOTOR TRUCK DRIVER,AVIATION,70408.0
8172,POLICE OFFICER,POLICE,78012.0
8173,FIREFIGHTER,FIRE,50490.0
8174,AVIATION SECURITY OFFICER,AVIATION,69708.0
8175,PUBLIC HEALTH NURSE III - EXCLUDED,HEALTH,85572.0
8176,POLICE OFFICER,POLICE,80724.0
8177,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,100284.0
8178,POLICE OFFICER,POLICE,75372.0
8179,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
8180,ASST COMMISSIONER,STREETS & SAN,100596.0
8181,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8182,POLICE OFFICER,POLICE,78012.0
8183,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8184,POLICE OFFICER,POLICE,80724.0
8185,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,63456.0
8186,PRINCIPAL OPERATIONS ANALYST,BUDGET & MGMT,87660.0
8187,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8188,POLICE OFFICER,POLICE,78012.0
8189,POLICE OFFICER,POLICE,78012.0
8190,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,100182.0
8191,FIREFIGHTER,FIRE,87324.0
8192,CLERK III,POLICE,41784.0
8193,SANITATION LABORER,STREETS & SAN,70969.6
8194,POLICE OFFICER,POLICE,78012.0
8195,POLICE OFFICER,POLICE,78012.0
8196,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
8197,PARAMEDIC I/C,FIRE,84396.0
8198,POLICE OFFICER,POLICE,68382.0
8199,FIREFIGHTER,FIRE,75372.0
8200,FIRE ENGINEER-EMT,FIRE,97836.0
8201,FIREFIGHTER/PARAMEDIC,FIRE,77136.0
8202,POLICE OFFICER,POLICE,75372.0
8203,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
8204,SIGN HANGER,TRANSPORTN,62836.8
8205,POLICE OFFICER,POLICE,75372.0
8206,PARAMEDIC FIELD CHIEF,FIRE,126402.0
8207,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
8208,FIREFIGHTER,FIRE,78012.0
8209,POLICE OFFICER,POLICE,80724.0
8210,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,71736.0
8211,CONSTRUCTION LABORER,WATER MGMNT,76960.0
8212,POLICE OFFICER,POLICE,75372.0
8213,ASPHALT FOREMAN,TRANSPORTN,78832.0
8214,POLICE OFFICER,POLICE,75372.0
8215,POLICE OFFICER,POLICE,83706.0
8216,POLICE OFFICER,POLICE,43104.0
8217,POOL MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
8218,CERTIFIED MEDICAL ASST,HEALTH,52740.0
8219,MACHINIST,GENERAL SERVICES,91353.6
8220,POLICE OFFICER,POLICE,75372.0
8221,SENIOR PERSONNEL ASSISTANT,PUBLIC LIBRARY,66492.0
8222,GENERAL LABORER - DSS,STREETS & SAN,41849.6
8223,DETENTION AIDE,POLICE,46656.0
8224,CROSSING GUARD,POLICE,19000.8
8225,POLICE OFFICER,POLICE,78012.0
8226,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8227,CROSSING GUARD,POLICE,17316.0
8228,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
8229,FIREFIGHTER,FIRE,78012.0
8230,FIREFIGHTER-EMT,FIRE,81906.0
8231,EXPLOSIVES TECHNICIAN I,POLICE,99756.0
8232,POLICE COMMUNICATIONS OPERATOR I,OEMC,76452.0
8233,SENIOR DATA ENTRY OPERATOR,TRANSPORTN,45828.0
8234,CLERK IV,PUBLIC LIBRARY,57828.0
8235,VEHICLE REGISTRATION COORD,GENERAL SERVICES,43224.0
8236,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
8237,ADMINISTRATIVE ASST II,HEALTH,57828.0
8238,CROSSING GUARD,POLICE,16525.6
8239,CLERK III,HEALTH,50280.0
8240,SANITATION LABORER,STREETS & SAN,70969.6
8241,CROSSING GUARD,POLICE,17316.0
8242,ADMINISTRATIVE ASST III,STREETS & SAN,69648.0
8243,POLICE OFFICER,POLICE,75372.0
8244,COMMANDER,POLICE,154932.0
8245,POLICE OFFICER,POLICE,80724.0
8246,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
8247,FIREFIGHTER,FIRE,50490.0
8248,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8249,SUPPORT SERVICES COORD,FAMILY & SUPPORT,59976.0
8250,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
8251,EQUIPMENT DISPATCHER,AVIATION,71635.2
8252,HOISTING ENGINEER,WATER MGMNT,95888.0
8253,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
8254,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8255,POLICE OFFICER,POLICE,61530.0
8256,SUPPORT SERVICES ASST,FAMILY & SUPPORT,63456.0
8257,POLICE OFFICER,POLICE,75372.0
8258,ASST COMMISSIONER,BUSINESS AFFAIRS,86796.0
8259,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,58512.0
8260,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
8261,CROSSING GUARD,POLICE,18148.0
8262,POLICE OFFICER,POLICE,80724.0
8263,SANITATION LABORER,STREETS & SAN,70969.6
8264,MANAGER OF SECURITY COMMUNICATIONS CENTER,AVIATION,93024.0
8265,CROSSING GUARD,POLICE,17316.0
8266,POLICE OFFICER,POLICE,86130.0
8267,SANITATION LABORER,STREETS & SAN,70969.6
8268,ASST TO THE COMMISSIONER,FIRE,73752.0
8269,SANITATION LABORER,STREETS & SAN,70969.6
8270,CHIEF INVESTIGATOR (IG),INSPECTOR GEN,105828.0
8271,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8272,POLICE COMMUNICATIONS OPERATOR I,OEMC,63552.0
8273,CLERK IV,FINANCE,52740.0
8274,POLICE OFFICER,POLICE,75372.0
8275,POLICE OFFICER,POLICE,83706.0
8276,POLICE OFFICER,POLICE,75372.0
8277,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8278,PARKING ENFORCEMENT AIDE,FINANCE,43800.0
8279,ADMINISTRATIVE ASST II,TRANSPORTN,63456.0
8280,POLICE OFFICER,POLICE,83706.0
8281,AVIATION SECURITY OFFICER,AVIATION,69708.0
8282,SENIOR DATA ENTRY OPERATOR,FINANCE,48048.0
8283,POLICE OFFICER,POLICE,80724.0
8284,FIRE ENGINEER-EMT,FIRE,91740.0
8285,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8286,POLICE OFFICER,POLICE,86130.0
8287,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
8288,POLICE COMMUNICATIONS OPERATOR I,OEMC,53628.0
8289,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8290,SERGEANT,POLICE,109278.0
8291,EPIDEMIOLOGIST II,HEALTH,91224.0
8292,HOISTING ENGINEER - MECHANIC,GENERAL SERVICES,102128.0
8293,ASST TO THE MAYOR,MAYOR'S OFFICE,154008.0
8294,POLICE OFFICER,POLICE,75372.0
8295,BUILDING/CONSTRUCTION INSPECTOR,HEALTH,100284.0
8296,CROSSING GUARD,POLICE,19895.2
8297,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8298,ADMINISTRATIVE ASST III,HEALTH,76428.0
8299,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,91353.6
8300,CLERK III,POLICE,45828.0
8301,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8302,CUSTODIAL WORKER,AVIATION,41537.6
8303,SANITATION LABORER,STREETS & SAN,70969.6
8304,MECHANICAL ENGINEER III,GENERAL SERVICES,79212.0
8305,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,100284.0
8306,POLICE OFFICER,POLICE,75372.0
8307,LIEUTENANT-EMT,FIRE,98394.0
8308,PERSONAL COMPUTER OPERATOR II,TRANSPORTN,45828.0
8309,ASPHALT LABORER,TRANSPORTN,76960.0
8310,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8311,BUILDING/CONSTRUCTION INSPECTOR,HEALTH,105024.0
8312,POLICE COMMUNICATIONS OPERATOR I,OEMC,48924.0
8313,FIREFIGHTER,FIRE,50490.0
8314,POLICE AGENT,POLICE,90540.0
8315,POLICE OFFICER / FLD TRNG OFFICER,POLICE,81900.0
8316,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
8317,FIRE ENGINEER,FIRE,84396.0
8318,SHIFT SUPVSR OF AVIATION SECURITY,AVIATION,97416.0
8319,ASST TO THE COMMISSIONER,FINANCE,73752.0
8320,BATTALION CHIEF - EMT,FIRE,132720.0
8321,SANITATION LABORER,STREETS & SAN,70969.6
8322,FIREFIGHTER-EMT,FIRE,79140.0
8323,SPECIALIST IN AGING II,FAMILY & SUPPORT,76524.0
8324,POLICE OFFICER,POLICE,75372.0
8325,POLICE OFFICER,POLICE,78012.0
8326,POLICE OFFICER,POLICE,78012.0
8327,FIREFIGHTER,FIRE,87324.0
8328,FIREFIGHTER-EMT,FIRE,79140.0
8329,POLICE OFFICER,POLICE,78012.0
8330,SERGEANT,POLICE,109278.0
8331,POLICE OFFICER,POLICE,78012.0
8332,POLICE OFFICER,POLICE,83706.0
8333,POLICE OFFICER,POLICE,80724.0
8334,ELECTRICAL INSPECTOR,BUILDINGS,93840.0
8335,REFUSE COLLECTION COORD,STREETS & SAN,72456.0
8336,MANAGER OF REGULATORY REVIEW,BUILDINGS,109032.0
8337,CONSTRUCTION LABORER,WATER MGMNT,76960.0
8338,FIREFIGHTER-EMT,FIRE,79140.0
8339,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8340,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,105024.0
8341,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,90540.0
8342,PARKING ENFORCEMENT AIDE,FINANCE,57900.0
8343,POLICE COMMUNICATIONS OPERATOR II,OEMC,63552.0
8344,ADMINISTRATIVE ASST II,HEALTH,60600.0
8345,FIREFIGHTER-EMT,FIRE,84762.0
8346,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8347,PARAMEDIC I/C,FIRE,84396.0
8348,FIREFIGHTER,FIRE,50490.0
8349,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
8350,POLICE OFFICER,POLICE,75372.0
8351,POLICE OFFICER,POLICE,75372.0
8352,PARAMEDIC I/C,FIRE,84396.0
8353,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
8354,FIREFIGHTER-EMT,FIRE,81906.0
8355,HOISTING ENGINEER,WATER MGMNT,95888.0
8356,POLICE OFFICER,POLICE,65016.0
8357,CROSSING GUARD,POLICE,17316.0
8358,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
8359,POLICE OFFICER,POLICE,80724.0
8360,LIEUTENANT-EMT,FIRE,108132.0
8361,FIREFIGHTER,FIRE,87324.0
8362,CROSSING GUARD,POLICE,21912.8
8363,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
8364,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
8365,SANITATION LABORER,STREETS & SAN,70969.6
8366,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8367,POLICE OFFICER,POLICE,78012.0
8368,GIS DATA BASE ANALYST,DoIT,90696.0
8369,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
8370,POLICE OFFICER,POLICE,78012.0
8371,ASST TO THE CITY TREASURER,TREASURER,76512.0
8372,FIREFIGHTER,FIRE,50490.0
8373,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
8374,POLICE OFFICER,POLICE,78012.0
8375,DETENTION AIDE,POLICE,46656.0
8376,ASPHALT LABORER,TRANSPORTN,76960.0
8377,CROSSING GUARD,POLICE,17316.0
8378,FIREFIGHTER,FIRE,50490.0
8379,HOISTING ENGINEER,WATER MGMNT,95888.0
8380,SANITATION LABORER,STREETS & SAN,70969.6
8381,POLICE OFFICER,POLICE,78012.0
8382,POLICE OFFICER,POLICE,71748.0
8383,POLICE OFFICER,POLICE,83706.0
8384,POLICE OFFICER,POLICE,43104.0
8385,LABORER - APPRENTICE,TRANSPORTN,69264.0
8386,EXEC ADMINISTRATIVE ASST I,LAW,66444.0
8387,PARKING ENFORCEMENT AIDE,FINANCE,55248.0
8388,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
8389,FIREFIGHTER,FIRE,87324.0
8390,POLICE OFFICER,POLICE,80724.0
8391,POLICE OFFICER,POLICE,83706.0
8392,LIBRARIAN I,PUBLIC LIBRARY,69300.0
8393,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
8394,POLICE OFFICER,POLICE,83706.0
8395,CONSTRUCTION LABORER,WATER MGMNT,76960.0
8396,FIREFIGHTER-EMT,FIRE,79140.0
8397,FIREFIGHTER,FIRE,78012.0
8398,MOTOR TRUCK DRIVER,AVIATION,70408.0
8399,LIEUTENANT-EMT,FIRE,101484.0
8400,POLICE OFFICER,POLICE,65016.0
8401,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
8402,PARAMEDIC I/C,FIRE,81672.0
8403,COMPUTER APPL ANALYST I-ELECTIONS,BOARD OF ELECTION,64596.0
8404,POLICE OFFICER,POLICE,78012.0
8405,FIREFIGHTER-EMT,FIRE,79140.0
8406,CAPTAIN-EMT,FIRE,117828.0
8407,POLICE OFFICER,POLICE,80724.0
8408,POLICE COMMUNICATIONS OPERATOR I,OEMC,63552.0
8409,SANITATION LABORER,STREETS & SAN,70969.6
8410,POLICE OFFICER,POLICE,80724.0
